,Name,Price (in Rs),Rating
94,"realme C11 (Rich Grey, 32 GB)","7,499",4.4
95,"realme C11 (Rich Green, 32 GB)","7,499",4.4
96,"realme X50 Pro (Rust Red, 128 GB)","41,999",4.4
97,"realme GT Master Edition (Cosmos Black, 256 GB)","29,999",4.3
98,"realme GT Master Edition (Luna White, 256 GB)","29,999",4.3
99,"realme GT 5G (Dashing Blue, 128 GB)","37,999",4.3
100,"realme 6 Pro (Lightning Orange, 64 GB)","17,999",4.4
101,"realme X50 Pro 5G (Rust Red, 256 GB)","47,999",4.3
102,"realme 5 Pro (Sparkling Blue, 128 GB)","16,999",4.5
103,"realme GT Master Edition (Daybreak Blue, 256 GB)","29,999",4.3
104,"realme 5 Pro (Sparkling Blue, 64 GB)","14,999",4.5
105,"realme 5 Pro (Crystal Green, 64 GB)","13,999",4.5
106,"realme 5 Pro (Crystal Green, 64 GB)","14,999",4.5
107,"realme 3i (Diamond Blue, 32 GB)","8,499",4.4
108,"realme 6 (Comet Blue, 64 GB)","13,999",4.4
109,"realme 6 (Comet White, 64 GB)","13,999",4.4
110,"realme 5s (Crystal Blue, 128 GB)","11,999",4.5
111,"realme 6 Pro (Lightning Blue, 128 GB)","18,999",4.4
112,"realme 6 Pro (Lightning Red, 64 GB)","17,999",4.4
113,"realme 3i (Diamond Black, 32 GB)","8,499",4.4
114,"realme C2 (Diamond Black, 16 GB)","6,499",4.4
115,"realme 6 (Comet Blue, 128 GB)","16,999",4.4
116,"realme 6 Pro (Lightning Blue, 64 GB)","17,999",4.4
117,"realme GT 5G (Dashing Silver, 128 GB)","37,999",4.3
118,"realme GT 5G (Racing Yellow, 256 GB)","41,999",4.4
119,"realme 3 (Black, 32 GB)","8,499",4.5
